Epoch,Train_Loss,Val_Loss,Precision,Recall,F1_Score,IoU_Score,Average_precision,Accuracy,Balanced_accuracy,Roc_auc,Jaccard_score
115,0.6700946072991631,0.6151848462383442,0.41778874975226815,0.5855877992159881,0.48765738995235364,0.322451651096344,0.27590586443680487,24380014,0.7595117472957384,0.7595117472957383,0.8301642845823326
116,0.6682542236675074,0.6151428131900206,0.421276865788834,0.57974496177387,0.4879676620990856,0.32272303104400635,0.2759276617006771,24407961,0.7573910054826212,0.7573910054826212,0.8319075714037246
117,0.6636587040297945,0.6155108706450757,0.42403528098640264,0.5758337835604205,0.4884116308252315,0.32311153411865234,0.27616333215690286,24428945,0.7560171945076793,0.7560171945076793,0.8332187025463929
118,0.6677582035117001,0.6157211531336906,0.4200122111691589,0.5817604989256225,0.48782824898774746,0.3226010799407959,0.27588902830181095,24398007,0.7581162662520535,0.7581162662520536,0.8312862769830225
119,0.6681649689264664,0.6145216400731247,0.41600409656303655,0.5896297283095392,0.4878284249502032,0.32260122895240784,0.2762374207837418,24364519,0.7610560566383515,0.7610560566383515,0.8291991615751222
120,0.6689504843743236,0.6152211964866261,0.4193373434572527,0.5832944781189635,0.487910221168055,0.3226727843284607,0.27602398303937803,24392293,0.7587057099853254,0.7587057099853254,0.8309298191247074
121,0.6666656651924036,0.6152490600636957,0.4200173404525446,0.5827324960343011,0.48817311012907044,0.32290276885032654,0.2762269625107806,24397291,0.7585482142352619,0.7585482142352619,0.8312416029739403
122,0.6669926591067689,0.6149456864031254,0.4184776113404428,0.5856716771390721,0.48815547108543283,0.3228873610496521,0.27633802856041423,24384624,0.7596430326965289,0.7596430326965289,0.8304516200748369
123,0.6664635010567618,0.6159036242912826,0.4198558211627199,0.5820491376609408,0.48782415237591137,0.3225975036621094,0.27589746505839025,24396738,0.7582232774444049,0.758223277444405,0.8312071006570344
124,0.6700401665741609,0.6153506229443805,0.42079764110687073,0.5811901290486516,0.4881565276995562,0.3228882849216461,0.27614896590001786,24403682,0.7579685420177364,0.7579685420177364,0.8316404392988965
125,0.6666552141118093,0.6150292199825553,0.4210819158521025,0.5806409753522256,0.48815379277117227,0.3228858709335327,0.2761243606017455,24405989,0.757762786075431,0.757762786075431,0.8317844524672255
126,0.6672809879130376,0.6145425747942042,0.4182596354360321,0.5855552348458496,0.4879667084140939,0.3227221965789795,0.27617044490495585,24383238,0.7595616700172294,0.7595616700172295,0.8303652229561477
127,0.6645487380202117,0.6155221643761842,0.4229327312770391,0.5769330777523677,0.4880732597001942,0.3228154182434082,0.2759104684266023,24420958,0.7563612844241655,0.7563612844241654,0.8327194342749287
128,0.6631214566378968,0.6152268304746338,0.4219113816139917,0.5779983273755338,0.48777218719083837,0.32255205512046814,0.27569032065879584,24413466,0.7566997014688143,0.7566997014688143,0.8322513556339577
129,0.6644685176870286,0.6147044767077567,0.42013080719984364,0.5821932103288261,0.4880603460042735,0.32280412316322327,0.27610718423162206,24398466,0.7583242105096,0.7583242105096,0.8313149169147309
130,0.667278673574737,0.61478953768687,0.4191174518465447,0.5841840775032009,0.48807209958336545,0.322814404964447,0.2762014768761582,24390118,0.7590704600974145,0.7590704600974145,0.8307941720292201
131,0.6659048511297655,0.6152664660916898,0.4210866530656072,0.580471739307415,0.48809715692162164,0.322836309671402,0.27606861151632817,24406149,0.7576882899581929,0.7576882899581929,0.8317944412163728
132,0.6659435788935674,0.6149167884524467,0.42098702702973295,0.5809079045074516,0.4881843075529873,0.3229125738143921,0.27616150688537383,24405156,0.7578686015522496,0.7578686015522496,0.8317324503018756
133,0.6672342810813862,0.6149814720016448,0.4195241820368914,0.5826560191044304,0.4878130490809571,0.322587788105011,0.2759132668422142,24394045,0.7584477753550749,0.7584477753550748,0.8310390998167282
134,0.6622775426948311,0.6145832928610436,0.41930887673526157,0.5842926254036626,0.48823977230116294,0.32296112179756165,0.2763506329514135,24391323,0.7591445552734697,0.7591445552734698,0.8308693211552688
135,0.6664929436809184,0.6150379256947051,0.4202190904147676,0.5822504446763422,0.4881400255884072,0.3228738307952881,0.27617831662257997,24399012,0.7583614806042762,0.7583614806042762,0.8313489864968465
136,0.6653766142820745,0.6153297686773073,0.4213257796462795,0.5797671647535099,0.48800833942454647,0.32275861501693726,0.27596369946091587,24408268,0.7574073792172797,0.7574073792172796,0.8319267399886651
137,0.6661641363469949,0.6154076827406393,0.4230320743968701,0.5774486802795602,0.48832386217244284,0.32303470373153687,0.2761470137889412,24421227,0.7566034701839651,0.7566034701839651,0.8327362450699427
138,0.6668146048864891,0.6151444801577816,0.4206602559800311,0.5813899558654104,0.4881345161499456,0.3228690028190613,0.2761381078113594,24402615,0.7580388342642748,0.7580388342642749,0.8315738400864717
139,0.6646042095677727,0.61534947672008,0.4232890512141028,0.5780062217682946,0.48869441774035194,0.32335910201072693,0.27648935761917703,24422497,0.7568850581583988,0.7568850581583988,0.8328156161855932
140,0.6703370407468876,0.6151066854166887,0.4203786786876692,0.5819548983473583,0.4881437414213853,0.32287707924842834,0.2761692849110651,24400305,0.7582517802918245,0.7582517802918245,0.8314296728157278
141,0.664780262728278,0.6147785645453527,0.4193851710211293,0.5838238958334875,0.4881277342678402,0.32286307215690613,0.2762339832510388,24392202,0.7589469955868924,0.7589469955868925,0.830924143372062
142,0.6699985360532618,0.6151020036312779,0.42044858917335765,0.5817965170925938,0.48813513434635664,0.32286953926086426,0.27615532318004177,24400893,0.7581908815368019,0.7581908815368019,0.8314663677858919
143,0.6667193465302588,0.6155199190226112,0.42148288816680457,0.5802857276779877,0.4882973984115866,0.3230115473270416,0.27623424258002544,24408916,0.7576585510815418,0.7576585510815417,0.8319672013807247
144,0.6670274324783242,0.6148905415593842,0.41845024352571114,0.5860052152332176,0.48825266045077764,0.3229723870754242,0.27643641454404366,24384175,0.759787163287711,0.759787163287711,0.8304236305047311
